OBJECTID_1,OBJECTID,CITY_TYPE,LCITY,COMMUNITY,LABEL,SOURCE,ShapeSTAre,ShapeSTLen,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2020 Total Population
115,161,City,Los Angeles,University Park,Los Angeles - University Park,LA City,38031882.75683590,34766.29982642,24,US,115,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,24927.00000000
116,162,City,Los Angeles,Valley Glen,Los Angeles - Valley Glen,LA City,65393448.29687500,34152.21017385,25,US,116,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,28726.00000000
117,163,City,Los Angeles,Valley Village,Los Angeles - Valley Village,LA City,57016389.01171880,35747.49991253,26,US,117,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,23858.00000000
118,164,City,Los Angeles,Van Nuys,Los Angeles - Van Nuys,LA City,205583079.79980499,92099.63021466,27,US,118,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,90255.00000000
119,165,City,Los Angeles,Venice,Los Angeles - Venice,LA City,77917417.70996089,42922.86973691,28,US,119,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,34497.00000000
120,166,City,Los Angeles,Vermont Knolls,Los Angeles - Vermont Knolls,LA City,29675172.64550780,25532.53941620,29,US,120,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,17183.00000000
121,167,City,Los Angeles,Vermont Square,Los Angeles - Vermont Square,LA City,12397381.09082030,14176.13802153,0,US,121,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,7248.00000000
122,168,City,Los Angeles,Vermont Vista,Los Angeles - Vermont Vista,LA City,52869829.07714840,36319.69935402,1,US,122,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,39698.00000000
123,169,City,Los Angeles,Vernon Central,Los Angeles - Vernon Central,LA City,63653034.00390630,40198.04994617,2,US,123,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,50782.00000000
124,170,City,Los Angeles,Victoria Park,Los Angeles - Victoria Park,LA City,11235374.51953130,16048.68202953,3,US,124,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,8102.00000000
125,171,City,Los Angeles,Watts,Los Angeles - Watts,LA City,58204963.29101560,34132.31120604,4,US,125,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,41547.00000000
126,172,City,Los Angeles,Wellington Square,Los Angeles - Wellington Square,LA City,9790642.45312500,13865.50405874,5,US,126,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,4790.00000000
127,173,City,Los Angeles,West Adams,Los Angeles - West Adams,LA City,40806406.35156250,34783.71791398,6,US,127,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,26398.00000000
128,174,City,Los Angeles,West Hills,Los Angeles - West Hills,LA City,278714351.11914098,105989.43541218,7,US,128,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,39106.00000000
129,175,City,Los Angeles,West Los Angeles,Los Angeles - West Los Angeles,LA City,59720615.91015630,36418.64770652,8,US,129,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,36375.00000000
130,176,City,Los Angeles,West Vernon,Los Angeles - West Vernon,LA City,70320110.63378911,50950.22279332,9,US,130,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,52004.00000000
131,177,City,Los Angeles,Westchester,Los Angeles - Westchester,LA City,359386016.92871100,114672.73555390,10,US,131,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,50578.00000000
132,178,City,Los Angeles,Westlake,Los Angeles - Westlake,LA City,32043122.85058590,25486.34347407,11,US,132,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,59497.00000000
133,179,City,Los Angeles,Westwood,Los Angeles - Westwood,LA City,105853582.14941400,61354.73052226,12,US,133,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,53332.00000000
134,180,City,Los Angeles,Wholesale District,Los Angeles - Wholesale District,LA City,174999904.89941400,80438.25537312,13,US,134,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,41902.00000000
135,181,City,Los Angeles,Wilmington,Los Angeles - Wilmington,LA City,196912290.11718801,111133.57447016,14,US,135,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,53845.00000000
136,182,City,Los Angeles,Wilshire Center,Los Angeles - Wilshire Center,LA City,35975449.82519530,39976.88007071,15,US,136,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,50167.00000000
137,183,City,Los Angeles,Winnetka,Los Angeles - Winnetka,LA City,139717944.17773399,57437.63490623,16,US,137,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,48669.00000000
138,184,City,Los Angeles,Woodland Hills,Los Angeles - Woodland Hills,LA City,411329306.46386701,122458.39406699,17,US,138,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,67666.00000000
139,342,City,Los Angeles,View Heights,Los Angeles - View Heights,LA City,9594326.89062500,16405.59824386,18,US,139,BlockApportionment:US.BlockGroups,2.19100000,2.57600000,1,3286.00000000
